player id,total_tournaments,mid_band_finishes,mid_band_pct,avg_sg_putt,avg_sg_arg,avg_sg_app,avg_sg_ott,avg_sg_t2g,avg_sg_total
9931,28,11,0.39285714285714285,0.021600000000000005,-0.004,0.39640000000000003,0.3796,0.7724,0.7475999999999999
1293,122,47,0.38524590163934425,0.12045977011494254,0.15229885057471265,0.052873563218390804,0.23735632183908045,0.4420689655172414,0.5622988505747126
9243,37,14,0.3783783783783784,0.517,0.131,0.23566666666666666,-0.22466666666666668,0.14333333333333334,0.5903333333333334
10906,28,10,0.35714285714285715,-0.12739130434782608,-0.007826086956521741,0.03999999999999998,0.1617391304347826,0.19608695652173913,0.06695652173913041
10140,126,42,0.3333333333333333,0.23552083333333332,0.025729166666666664,0.29041666666666666,0.3897916666666667,0.7061458333333334,0.94125
5539,90,30,0.3333333333333333,0.02227272727272728,0.263939393939394,0.13257575757575757,0.3236363636363636,0.7196969696969697,0.741969696969697
9031,39,13,0.3333333333333333,-0.4156521739130435,-0.09434782608695652,0.07869565217391304,-0.04695652173913043,-0.06086956521739132,-0.4769565217391304
5553,88,29,0.32954545454545453,0.18015151515151515,0.12833333333333335,0.2993939393939394,0.20060606060606062,0.6281818181818182,0.8084848484848485
6007,99,32,0.32323232323232326,0.12964285714285714,0.21654761904761907,0.47130952380952384,0.5185714285714286,1.206904761904762,1.3736904761904762
4364873,65,21,0.3230769230769231,0.05814814814814815,-0.39129629629629625,0.6485185185185186,0.5950000000000001,0.8518518518518519,0.9111111111111112
5956,29,9,0.3103448275862069,0.23999999999999996,-0.12533333333333335,-0.436,-0.23933333333333331,-0.7986666666666667,-0.5586666666666666
9478,73,22,0.3013698630136986,-0.02062499999999999,0.21031249999999999,0.27828125,0.4325,0.92078125,0.8792187499999999
9025,167,50,0.2994011976047904,0.08106870229007634,-0.07114503816793893,0.4162595419847328,0.27999999999999997,0.6252671755725191,0.7077099236641221
9126,125,37,0.296,-0.4564761904761905,-0.1706666666666667,0.3916190476190476,0.5459047619047619,0.7652380952380952,0.27799999999999997
9513,109,31,0.28440366972477066,0.03647058823529411,0.04333333333333334,0.22941176470588234,-0.15303921568627452,0.11882352941176472,0.20245098039215684
